repo_full_name,user_id,role
openai/openai-agents-python,AbdulSamad94,CONTRIBUTOR
openai/openai-agents-python,AnkanMisra,CONTRIBUTOR
openai/openai-agents-python,Arnav-Ajay,NONE
openai/openai-agents-python,AryanBagade,CONTRIBUTOR
openai/openai-agents-python,DanieleMorotti,CONTRIBUTOR
openai/openai-agents-python,Filimoa,NONE
openai/openai-agents-python,HailTheLotusJewel,NONE
openai/openai-agents-python,Harrrryz,NONE
openai/openai-agents-python,HemanthIITJ,NONE
openai/openai-agents-python,MuhammadHamidRazaAi,NONE
openai/openai-agents-python,NateMoneyLion,NONE
openai/openai-agents-python,Nifury,CONTRIBUTOR
openai/openai-agents-python,QWERTY0205,NONE
openai/openai-agents-python,Ray0907,NONE
openai/openai-agents-python,Shivam-Bahuguna-Seatrium,NONE
openai/openai-agents-python,TanMan-CAL,NONE
openai/openai-agents-python,TasmeerJamali,NONE
openai/openai-agents-python,Thebinary110,NONE
openai/openai-agents-python,Vaibhav21-motors,NONE
openai/openai-agents-python,ZILECAO,NONE
openai/openai-agents-python,aligokalppeker,CONTRIBUTOR
openai/openai-agents-python,atpug22,NONE
openai/openai-agents-python,ayoajuwon1,NONE
openai/openai-agents-python,chatgpt-codex-connector,NONE
openai/openai-agents-python,danielquintas8,NONE
openai/openai-agents-python,dast-draftwise,NONE
openai/openai-agents-python,github-actions,CONTRIBUTOR
openai/openai-agents-python,github-actions[bot],CONTRIBUTOR
openai/openai-agents-python,gustavz,CONTRIBUTOR
openai/openai-agents-python,habema,CONTRIBUTOR
openai/openai-agents-python,ihower,CONTRIBUTOR
openai/openai-agents-python,jao-o-garcia,NONE
openai/openai-agents-python,jhills20,CONTRIBUTOR
openai/openai-agents-python,kkwhale7,NONE
openai/openai-agents-python,lawalkeyd,NONE
openai/openai-agents-python,lijianguo1211,NONE
openai/openai-agents-python,markmcd,NONE
openai/openai-agents-python,mattlgroff,NONE
openai/openai-agents-python,mbegur,NONE
openai/openai-agents-python,moseshu,NONE
openai/openai-agents-python,nbondoux,NONE
openai/openai-agents-python,pokliu,NONE
openai/openai-agents-python,ralliesai,NONE
openai/openai-agents-python,rm-openai,COLLABORATOR
openai/openai-agents-python,ruskaruma,CONTRIBUTOR
openai/openai-agents-python,sandsc,NONE
openai/openai-agents-python,sebastianherreramonterrosa,NONE
openai/openai-agents-python,seratch,MEMBER
openai/openai-agents-python,shovelmn12,NONE
openai/openai-agents-python,shreyansh26,NONE
openai/openai-agents-python,silvasw,NONE
openai/openai-agents-python,stelgic,NONE
openai/openai-agents-python,varunursekar,NONE
openai/openai-agents-python,vhq5z6hn5w-coder,NONE
openai/openai-agents-python,wahmd,CONTRIBUTOR
openai/openai-agents-python,willkoh,NONE
openai/openai-agents-python,yurekami,NONE
openai/openai-agents-python,zhuzi-wang,NONE
